User ID,Task type,Controller,Completion Time (s),Swing Diff,Boom Diff,Stick Diff,Bucket Diff,Errors,Distance
2JW5,GHOST,JOYSTICK,191.241232,0.5263743,0.7359469,1.432557,1.383641,,
2JW5,GHOST,JOYSTICK,291.968793,0.6342709,1.052751,0.9819726,1.427083,,
2JW5,GHOST,MINIATURE,282.75196,1.139852,1.13089,1.128118,1.438554,,
2JW5,GHOST,MINIATURE,74.230312,1.38081,1.490922,1.469773,1.488821,,
2JW5,BUCKET,JOYSTICK,75.025699,,,,,0.0,5.296838679816481
2JW5,BUCKET,JOYSTICK,137.293914,,,,,0.0,7.900708828959589
2JW5,BUCKET,MINIATURE,62.705841,,,,,0.0,2.05681793068808
2JW5,BUCKET,MINIATURE,191.04915,,,,,0.0,4.189140723346496
CE1J,GHOST,JOYSTICK,69.613046,1.031724,1.262362,1.464438,1.351013,,
CE1J,GHOST,JOYSTICK,67.320824,0.5637105,1.237312,0.5706105,1.337036,,
CE1J,GHOST,MINIATURE,34.094057,0.8577439,1.247392,1.466574,0.8952488,,
CE1J,GHOST,MINIATURE,38.897882,0.6342709,0.7423005,1.452632,1.451554,,
CE1J,BUCKET,JOYSTICK,111.630688,,,,,0.0,1.6344112089679268
CE1J,BUCKET,JOYSTICK,98.770036,,,,,0.0,5.817920590726553
CE1J,BUCKET,MINIATURE,26.132825,,,,,0.0,4.346147719532782
CE1J,BUCKET,MINIATURE,71.591826,,,,,2.0,4.763874473577153
1IM9,GHOST,JOYSTICK,94.168763,1.337036,1.341128,1.311026,1.413858,,
1IM9,GHOST,JOYSTICK,115.639972,1.335865,1.377405,1.420486,1.489872,,
1IM9,GHOST,MINIATURE,86.264427,0.4511071,1.106401,0.4829489,1.489346,,
1IM9,GHOST,MINIATURE,62.894082,0.8784806,0.9270326,1.309831,1.33996,,
1IM9,BUCKET,JOYSTICK,89.223933,,,,,0.0,0.850940655980193
1IM9,BUCKET,JOYSTICK,114.428614,,,,,0.0,1.3386933928274989
1IM9,BUCKET,MINIATURE,68.817233,,,,,0.0,3.446926166891307
1IM9,BUCKET,MINIATURE,97.319756,,,,,1.0,0.9577055915050302
50O9,GHOST,JOYSTICK,101.493755,0.0,1.460692,1.360826,1.357947,,
50O9,GHOST,JOYSTICK,127.587366,0.9795785,1.250526,0.9977865,1.460692,,
50O9,GHOST,MINIATURE,94.517977,0.4562825,0.7843408,1.350433,0.720904,,
50O9,GHOST,MINIATURE,94.32252,0.4630931,1.485663,0.4909852,0.6644049,,
50O9,BUCKET,JOYSTICK,100.182434,,,,,0.0,8.082004701805115
50O9,BUCKET,JOYSTICK,138.750483,,,,,0.0,2.7266279540854117
50O9,BUCKET,MINIATURE,74.294959,,,,,0.0,2.5830602006147667
50O9,BUCKET,MINIATURE,100.572894,,,,,0.0,0.5408326913195984
F5S2,GHOST,JOYSTICK,331.565269,1.402185,1.406643,1.457473,1.490397,,
F5S2,GHOST,JOYSTICK,221.118654,1.312219,1.398272,1.329993,1.296015,,
F5S2,GHOST,MINIATURE,66.655303,0.7033183,1.027162,1.003263,1.483554,,
F5S2,GHOST,MINIATURE,285.282054,0.7722733,1.456936,0.8175655,0.8137271,,
F5S2,BUCKET,JOYSTICK,416.610593,,,,,0.0,6.107348033312003
F5S2,BUCKET,JOYSTICK,247.894663,,,,,0.0,2.500719896349849
F5S2,BUCKET,MINIATURE,107.870003,,,,,1.0,4.4073234508032195
F5S2,BUCKET,MINIATURE,92.200712,,,,,2.0,4.449292078522155
RMYD,GHOST,JOYSTICK,77.592789,1.26978,1.265458,1.366566,1.344625,,
RMYD,GHOST,JOYSTICK,64.911401,0.6355037,0.9429379,1.146698,1.364846,,
RMYD,GHOST,MINIATURE,74.33346,0.2683408,0.4579946,0.7401887,1.411642,,
RMYD,GHOST,MINIATURE,145.06562,1.232876,1.439098,1.225234,1.49982,,
RMYD,BUCKET,JOYSTICK,72.796413,,,,,0.0,3.242745750132132
RMYD,BUCKET,JOYSTICK,245.925607,,,,,2.0,2.2360679774997894
RMYD,BUCKET,MINIATURE,147.447482,,,,,3.0,2.56628135635982
RMYD,BUCKET,MINIATURE,98.17444,,,,,4.0,1.8069310999592654
A9AB,GHOST,JOYSTICK,263.953968,1.2499,1.494592,1.463903,1.240471,,
A9AB,GHOST,JOYSTICK,398.685334,0.5692372,0.7252338,1.006378,1.283879,,
A9AB,GHOST,MINIATURE,91.726039,0.3064668,0.3357176,1.152146,1.472433,,
A9AB,GHOST,MINIATURE,79.285407,0.5308164,0.6679296,0.7044302,1.439098,,
A9AB,BUCKET,JOYSTICK,153.735226,,,,,0.0,8.302246683880213
A9AB,BUCKET,JOYSTICK,131.424182,,,,,0.0,4.264328786573569
A9AB,BUCKET,MINIATURE,50.479292,,,,,0.0,5.233927779402387
A9AB,BUCKET,MINIATURE,41.627443,,,,,0.0,3.4027048064738143
1I1I,GHOST,JOYSTICK,77.382516,0.9827694,1.02258,1.456399,1.442358,,
1I1I,GHOST,JOYSTICK,150.52712,0.9867433,1.332345,1.192209,1.261741,,
1I1I,GHOST,MINIATURE,36.307798,0.3516587,0.7773241,1.496163,1.495116,,
1I1I,GHOST,MINIATURE,48.125688,0.0,0.2769528,1.416071,1.412197,,
1I1I,BUCKET,JOYSTICK,194.232837,,,,,0.0,6.618776321949549
1I1I,BUCKET,JOYSTICK,55.231274,,,,,0.0,1.6834488409215171
1I1I,BUCKET,MINIATURE,132.634657,,,,,1.0,5.520470994398938
1I1I,BUCKET,MINIATURE,65.924959,,,,,2.0,3.6977831196542605
WSSL,GHOST,JOYSTICK,97.085105,1.408867,1.402743,1.463368,1.492496,,
WSSL,GHOST,JOYSTICK,122.688612,1.325277,1.429275,1.314007,1.402185,,
WSSL,GHOST,MINIATURE,94.481276,0.2093567,0.2438931,0.7444063,1.416071,,
WSSL,GHOST,MINIATURE,81.869956,0.4877866,1.153504,1.354484,0.7722733,,
WSSL,BUCKET,JOYSTICK,62.025889,,,,,0.0,3.9018585315205874
WSSL,BUCKET,JOYSTICK,82.171475,,,,,0.0,4.645600068882383
